Date,brentp
9/12/2014,66.31
8/12/2014,66.08
7/12/2014,68.01
5/12/2014,68.94
4/12/2014,69.43
3/12/2014,70.03
2/12/2014,71.09
1/12/2014,72.79
30/11/2014,69.19
28/11/2014,70.02
27/11/2014,72.84
26/11/2014,77.53
25/11/2014,78.17
24/11/2014,79.4
23/11/2014,80.45
21/11/2014,80.36
20/11/2014,79.33
19/11/2014,78.1
18/11/2014,78.47
17/11/2014,79.31
16/11/2014,79.57
14/11/2014,79.41
13/11/2014,77.92
12/11/2014,80.38
11/11/2014,81.67
10/11/2014,82.34
7/11/2014,83.39
6/11/2014,82.86
5/11/2014,82.95
4/11/2014,82.82
3/11/2014,84.78
31/10/2014,85.86
30/10/2014,86.24
29/10/2014,87.12
28/10/2014,86.03
27/10/2014,85.83
24/10/2014,86.13
23/10/2014,86.83
22/10/2014,84.71
21/10/2014,86.22
20/10/2014,85.4
17/10/2014,86.16
16/10/2014,85.82
15/10/2014,83.78
14/10/2014,85.04
13/10/2014,88.89
10/10/2014,90.21
9/10/2014,90.05
8/10/2014,91.38
7/10/2014,92.11
6/10/2014,92.79
3/10/2014,92.31
2/10/2014,93.42
1/10/2014,94.16
30/09/2014,94.67
29/09/2014,97.2
26/09/2014,97
25/09/2014,97
24/09/2014,96.95
23/09/2014,96.85
22/09/2014,96.97
19/09/2014,98.39
18/09/2014,97.7
17/09/2014,98.97
16/09/2014,99.05
15/09/2014,97.88
12/9/2014,97.11
11/9/2014,98.08
10/9/2014,98.04
9/9/2014,99.16
8/9/2014,100.2
5/9/2014,100.82
4/9/2014,101.83
3/9/2014,102.77
2/9/2014,100.34
1/9/2014,102.79
29/08/2014,103.19
28/08/2014,102.46
27/08/2014,102.72
26/08/2014,102.5
25/08/2014,102.65
22/08/2014,102.29
21/08/2014,102.63
20/08/2014,102.28
19/08/2014,101.56
18/08/2014,101.6
15/08/2014,103.53
14/08/2014,102.07
13/08/2014,104.28
12/8/2014,103.02
11/8/2014,104.68
8/8/2014,105.02
7/8/2014,105.44
6/8/2014,104.59
5/8/2014,104.61
4/8/2014,105.41
1/8/2014,104.84
31/07/2014,106.02
30/07/2014,106.51
29/07/2014,107.72
28/07/2014,107.57
25/07/2014,108.39
24/07/2014,107.07
23/07/2014,108.03
22/07/2014,107.33
21/07/2014,107.68
18/07/2014,107.24
17/07/2014,107.89
16/07/2014,105.85
15/07/2014,106.02
14/07/2014,106.98
11/7/2014,106.66
10/7/2014,108.67
9/7/2014,108.28
8/7/2014,108.94
7/7/2014,110.24
4/7/2014,110.64
3/7/2014,111
2/7/2014,111.24
1/7/2014,112.29
30/06/2014,112.36
27/06/2014,113.3
26/06/2014,113.21
25/06/2014,114
24/06/2014,114.46
23/06/2014,114.12
20/06/2014,114.81
19/06/2014,115.06
18/06/2014,114.26
17/06/2014,113.45
16/06/2014,112.94
13/06/2014,113.41
12/6/2014,113.02
11/6/2014,109.95
10/6/2014,109.52
9/6/2014,109.99
6/6/2014,108.61
5/6/2014,108.79
4/6/2014,108.4
3/6/2014,108.82
2/6/2014,108.83
