Periodo,Aguascalientes a/  ,Baja California a/  ,Baja California Sur a/  ,Campeche a/  ,Coahuila de Zaragoza a/  ,Colima a/  ,Chiapas a/  ,Chihuahua a/  ,Distrito Federal a/  ,Durango a/  ,Guanajuato a/  ,Guerrero a/  ,Hidalgo a/  ,Jalisco a/  ,México a/  ,Michoacán de Ocampo a/  ,Morelos a/  ,Nayarit a/  ,Nuevo León a/  ,Oaxaca a/  ,Puebla a/  ,Querétaro a/  ,Quintana Roo a/  ,San Luis Potosí a/  ,Sinaloa a/  ,Sonora a/  ,Tabasco a/  ,Tamaulipas a/  ,Tlaxcala a/  ,Veracruz de Ignacio de la Llave a/  ,Yucatán a/  ,Zacatecas a/  
2005/03,4.652458418,1.635328889,2.623865946,2.492287168,4.97128543,3.126243699,2.153446885,3.422027317,5.470529164,4.159833139,4.564382747,1.460642188,3.230635195,3.573188227,5.17673512,2.166616586,2.692414281,2.439208022,5.442728317,1.87936496,3.401807836,3.96744926,2.776826821,3.222701097,3.095860008,3.609367457,3.64335728,5.23197781,3.861340076,3.274263948,2.587656876,3.094755759
2005/04,4.722180262,1.296912431,2.708098515,2.588465151,5.137830705,2.962102698,1.966228877,3.171076692,5.564670805,3.788996234,4.527202306,1.261139468,3.562908205,3.178662228,5.159776088,1.79362136,2.828975834,2.175417227,5.115800875,1.298034245,3.138558372,4.024361628,2.663827591,2.930499114,3.098911455,3.495427601,3.348310095,4.419272979,3.945105042,2.638531115,2.381240475,2.803587985
2005/05,5.342869785,1.212513519,2.310481597,2.682970417,5.075093503,2.961556156,2.018643458,2.227945088,5.509396048,3.294326237,4.108368635,1.158479287,3.642796503,2.893350748,5.047704369,2.263945921,2.919591211,2.325274838,4.618455884,1.336569281,2.844302497,3.802908112,2.966268571,2.589798303,3.584185046,2.625430503,2.862388716,4.100585237,3.969391662,2.541512604,2.649073769,2.210956603
2005/06,5.270292553,1.216469598,2.255499333,2.8465035,4.631665649,2.516738568,2.067357276,2.068998175,5.314170859,3.393132957,4.100312467,1.18946632,3.348946978,2.890649862,5.042350633,2.69481242,2.748355164,2.344460999,4.552591973,1.483388327,2.810907628,3.829637667,2.725041492,2.3751016,3.286843703,3.201228556,2.83768889,4.019277098,4.268962219,2.297240476,2.363152241,2.436161555
2005/07,4.714072502,1.158958534,2.320768306,2.75006374,4.381978307,2.605085444,2.00963373,1.923586762,5.975887715,3.284969618,3.531872126,1.159120072,2.963628401,3.446605799,5.142969875,3.64200979,2.605797297,2.63087279,5.286253092,2.056202661,2.914528959,4.039698277,3.085650691,2.507170795,3.870199712,3.516959041,3.106751914,4.255328054,4.457201481,1.931214609,2.494202633,2.937357821
2005/08,5.094236696,1.222828132,2.7095977,3.009374766,4.695943474,2.599752751,2.217931177,1.955037012,6.422372308,3.627796988,3.697386137,1.026016386,2.429960964,3.84673114,4.950194536,3.431813244,2.518522009,2.379065468,5.638982889,2.049477485,3.211303692,4.056846744,2.699368775,2.851016971,3.374790631,4.153222453,3.59788831,4.769785029,4.934127304,1.873715137,2.445359018,3.654345454
2005/09,5.304988492,1.287358678,2.45655595,2.751222327,4.346158719,3.219489877,2.37149528,2.375992641,6.375691755,3.321435244,3.816149391,0.997218017,2.360001739,4.208922604,4.853796273,3.235611975,2.405901087,2.630551134,5.828282899,2.105256007,3.362278134,4.334488761,2.739083801,2.715558545,3.634980162,4.174728333,3.715405979,4.817339939,4.808323563,1.724494788,2.668876791,3.483877241
2005/10,5.569646059,1.514253195,2.157634895,2.428541956,4.260609586,3.513350504,2.347499599,2.740505797,6.011567071,3.487561055,3.662564154,0.914890015,3.14018869,4.215461689,4.314683582,2.674586368,2.499900394,2.317964532,5.249628149,1.616281637,3.030790897,4.240402088,2.442480452,2.639670484,3.170386183,3.487713713,3.74244302,4.264028733,4.860515428,2.228868458,2.706972536,2.804411756
2005/11,4.529510962,1.596255133,1.837674999,1.747310276,4.215905976,3.698097642,1.944619439,2.54566056,5.408800728,2.967687493,3.197615803,0.881776932,3.370711841,3.62133406,4.324759521,2.687191491,2.35297855,2.332543778,4.652579929,1.628753746,3.05190729,3.919012988,2.62346524,2.318039304,2.986998205,3.036146786,3.526515019,3.23411884,4.516820332,2.453993899,2.432403026,2.278110194
2005/12,4.093753205,1.587024862,1.732880711,1.843241279,3.991578877,3.219168976,1.644692896,2.21691658,4.710899754,2.870291394,2.761599951,0.716206026,3.385790996,3.35473928,4.024917116,2.744997446,2.358488757,1.992371972,4.219115167,1.412491698,2.934741556,3.542361153,2.688851505,2.175571283,2.944811304,2.853895835,2.950303814,2.832913509,4.161239724,2.235018521,2.349308996,2.260510506
