Date,SP1,SP56337,SP56339,SP56373,SP56385,SP56386,SP74625,SP74626,SP74627,SP74628,SP74629,SP74630,SP74631,SP74640
1/1/1982,0.114297332,0.136351185,0.062959549,0.066756788,0.11133966,0.154808482,0.118718236,0.125620809,0.149577859,0.108928232,0.087893754,0.101043366,0.068978569,0.071547862
2/1/1982,0.118788688,0.13940634,0.063066758,0.067187074,0.112393518,0.159494129,0.123788873,0.130404442,0.156697475,0.11432637,0.092658358,0.103940314,0.071761346,0.078223001
3/1/1982,0.123127202,0.141687491,0.064632162,0.067681599,0.104971003,0.169926136,0.129085641,0.136180734,0.165949448,0.118966481,0.096366311,0.105674043,0.072999951,0.080686759
4/1/1982,0.129800232,0.150039335,0.067555173,0.068101773,0.109231925,0.181569722,0.13652605,0.144523911,0.175641861,0.125190774,0.102508627,0.110226259,0.074025225,0.082708051
5/1/1982,0.137096053,0.157850718,0.077887381,0.066566662,0.112643992,0.19294388,0.145005506,0.153931994,0.186823756,0.132412716,0.107208086,0.114283407,0.074592244,0.086785212
6/1/1982,0.143700303,0.164964463,0.082163324,0.066168944,0.1182943,0.201154473,0.152618249,0.160860896,0.195607244,0.140841322,0.11698941,0.118120526,0.075386819,0.089562793
7/1/1982,0.151105018,0.178321861,0.088060985,0.066329885,0.130389507,0.215316638,0.160284702,0.168820033,0.206805547,0.148071728,0.122272576,0.124733505,0.075721688,0.090183284
8/1/1982,0.168061726,0.19316387,0.09575278,0.101815814,0.138003919,0.235972607,0.175602418,0.187545348,0.226888242,0.158900585,0.132977048,0.145814363,0.102938368,0.103100738
9/1/1982,0.177032969,0.205575556,0.099824591,0.104112251,0.142183556,0.255094122,0.185262599,0.199060295,0.243809193,0.166106952,0.138993151,0.152841513,0.104974363,0.104666711
10/1/1982,0.186210533,0.214294851,0.102023794,0.105299789,0.149224844,0.265060085,0.196068966,0.212571221,0.257557634,0.173361324,0.144704643,0.157568572,0.105995018,0.10539093
11/1/1982,0.195624985,0.220987436,0.102170312,0.106641948,0.155273079,0.272165976,0.207586501,0.22677329,0.276745982,0.181346874,0.151632968,0.161282582,0.10694597,0.105671019
12/1/1982,0.216515209,0.235740554,0.102293363,0.182522016,0.165882204,0.290130459,0.223209452,0.24414691,0.299146971,0.194602009,0.167382167,0.195867755,0.160644252,0.121334541
1/1/1983,0.240074262,0.255236462,0.111386409,0.190858001,0.172061166,0.320492217,0.24944893,0.272548811,0.341517153,0.217861575,0.195565647,0.212000082,0.173800488,0.142341873
2/1/1983,0.252958004,0.263542378,0.116930943,0.19494404,0.175011237,0.333159094,0.26495746,0.292281644,0.375763738,0.227833067,0.205199198,0.217753388,0.177216908,0.144580158
3/1/1983,0.265201761,0.280329921,0.117504441,0.196540442,0.194837797,0.347051623,0.278414025,0.309075116,0.405643846,0.236906169,0.213700039,0.226610001,0.178703975,0.14585936
4/1/1983,0.281992263,0.300583389,0.118645871,0.220749973,0.217234113,0.36509917,0.294270768,0.328339829,0.429814988,0.248269295,0.225917376,0.245655778,0.19684118,0.153527106
5/1/1983,0.294222649,0.318599104,0.12171397,0.224841367,0.246862462,0.372954788,0.30698632,0.343716376,0.452228027,0.257473501,0.234574436,0.25643552,0.200929726,0.157542684
6/1/1983,0.305364105,0.335809107,0.127375021,0.225525729,0.276835616,0.379048756,0.318818117,0.356368038,0.471146937,0.268160516,0.244940983,0.265598261,0.20261695,0.160880857
7/1/1983,0.320461993,0.345003807,0.14422075,0.227582176,0.282646365,0.390921621,0.337532373,0.379450766,0.495388283,0.281127485,0.258069819,0.270900756,0.204314286,0.161948621
8/1/1983,0.332900609,0.34929564,0.165376626,0.229735002,0.275086697,0.405138994,0.353484775,0.397578894,0.516868785,0.294164713,0.271757265,0.273845376,0.20602444,0.16288908
9/1/1983,0.34314609,0.356676225,0.173375801,0.233534433,0.262228202,0.429468644,0.365386554,0.411259617,0.537881666,0.303692026,0.280566259,0.279565248,0.210247812,0.167751807
10/1/1983,0.35453207,0.36830094,0.174645393,0.243078898,0.259315368,0.453144047,0.377203895,0.426018732,0.557306365,0.311645329,0.288020817,0.289656653,0.219015592,0.175072924
11/1/1983,0.375353527,0.373897092,0.174645393,0.28068531,0.259096042,0.463542355,0.399111417,0.455890771,0.58758151,0.323171597,0.29990095,0.307312227,0.24825267,0.189809502
12/1/1983,0.391412349,0.396623069,0.174645393,0.282911078,0.288644424,0.480061816,0.416484031,0.474765748,0.607296262,0.338480707,0.318813038,0.319673628,0.250992645,0.193364709
1/1/1984,0.41627812,0.447727274,0.176756395,0.299682454,0.346303096,0.524630768,0.438768157,0.497951315,0.632927523,0.359432401,0.343029193,0.35105734,0.264164771,0.200290876
2/1/1984,0.438247723,0.470317288,0.183805032,0.302095426,0.342198366,0.569324668,0.464429987,0.525138425,0.663584946,0.382935452,0.370861648,0.362935317,0.266087934,0.20136187
3/1/1984,0.456979195,0.498569987,0.18382116,0.304565685,0.352348581,0.612313692,0.484215624,0.548335078,0.693593869,0.398192331,0.388009717,0.378621085,0.270116254,0.207931659
4/1/1984,0.476748016,0.522846196,0.18382116,0.34897965,0.368906085,0.642634123,0.500688452,0.570794266,0.717086443,0.406862257,0.396785618,0.406874949,0.30246091,0.219529101
