Fecha,inpc,suby,inpc_ali,viv,edu
Ene 1982,0.114297332,0.118718236,0.100568384,0.156282609,0.062959549
Feb-82,0.118788688,0.123788873,0.103341671,0.163912617,0.063066758
Mar-82,0.123127202,0.129085641,0.106204486,0.170844035,0.064632162
Abr 1982,0.129800232,0.13652605,0.113063264,0.178013018,0.067555173
May-82,0.137096053,0.145005506,0.120610236,0.189102438,0.077887381
Jun-82,0.143700303,0.152618249,0.125761709,0.196279557,0.082163324
Jul-82,0.151105018,0.160284702,0.13085641,0.207255052,0.088060985
Ago 1982,0.168061726,0.175602418,0.147489877,0.219199152,0.09575278
Sep-82,0.177032969,0.185262599,0.154326669,0.22921645,0.099824591
Oct-82,0.186210533,0.196068966,0.166878713,0.240244778,0.102023794
Nov-82,0.195624985,0.207586501,0.176558395,0.251736826,0.102170312
Dic 1982,0.216515209,0.223209452,0.189195422,0.263665083,0.102293363
Ene 1983,0.240074262,0.24944893,0.205587947,0.281977971,0.111386409
Feb-83,0.252958004,0.26495746,0.213408853,0.293647044,0.116930943
Mar-83,0.265201761,0.278414025,0.219519554,0.305565131,0.117504441
Abr 1983,0.281992263,0.294270768,0.234027862,0.317759571,0.118645871
May-83,0.294222649,0.30698632,0.24329278,0.329318934,0.12171397
Jun-83,0.305364105,0.318818117,0.250561415,0.341808637,0.127375021
Jul-83,0.320461993,0.337532373,0.271447359,0.354129088,0.14422075
Ago 1983,0.332900609,0.353484775,0.286037993,0.364888344,0.165376626
Sep-83,0.34314609,0.365386554,0.293485944,0.376189217,0.173375801
Oct-83,0.35453207,0.377203895,0.303928351,0.386485118,0.174645393
Nov-83,0.375353527,0.399111417,0.331770891,0.399940694,0.174645393
Dic 1983,0.391412349,0.416484031,0.348929399,0.412525305,0.174645393
Ene 1984,0.41627812,0.438768157,0.368957245,0.432157604,0.176756395
Feb-84,0.438247723,0.464429987,0.391994592,0.452160851,0.183805032
Mar-84,0.456979195,0.484215624,0.408792984,0.467567393,0.18382116
Abr 1984,0.476748016,0.500688452,0.429184428,0.477958862,0.18382116
May-84,0.492556578,0.515287112,0.444298469,0.489446186,0.184273938
Jun-84,0.510382524,0.536378181,0.464882514,0.503103353,0.192735289
Jul-84,0.52711381,0.555597295,0.481553988,0.519177923,0.19444513
Ago 1984,0.542097074,0.571280502,0.488199993,0.532863049,0.215001121
Sep-84,0.558245688,0.592085526,0.505330883,0.545634393,0.287444065
Oct-84,0.577750878,0.616598757,0.535891769,0.558728467,0.287505045
Nov-84,0.597578921,0.637207557,0.552380065,0.572478213,0.287505045
Dic 1984,0.62295859,0.664097794,0.586583579,0.588033555,0.287555193
Ene 1985,0.669169261,0.698935712,0.615802446,0.617130065,0.288838361
Feb-85,0.696969403,0.730487505,0.650205866,0.643407017,0.29922055
Mar-85,0.723976733,0.763875418,0.686905642,0.665580013,0.299224331
Abr 1985,0.746253908,0.785417903,0.699702269,0.684233842,0.299224331
May-85,0.763932751,0.807849152,0.714632357,0.703599174,0.308048717
Jun-85,0.783065408,0.830959841,0.731571829,0.726388509,0.313259795
Jul-85,0.81033637,0.860046871,0.743270252,0.757202683,0.314874244
Ago 1985,0.845762835,0.899081362,0.768736426,0.783854468,0.341134381
Sep-85,0.87954062,0.939234652,0.792368271,0.811984097,0.467293906
Oct-85,0.912951611,0.978971383,0.826848441,0.839846135,0.471007974
Nov-85,0.955072111,1.025288858,0.860298109,0.883751545,0.47109344
Dic 1985,1.020090675,1.071049615,0.899180139,0.918826551,0.471564617
Ene 1986,1.110276851,1.1628836,1.02080239,0.972858122,0.486549935
Feb-86,1.15963777,1.223650608,1.070330211,1.025763041,0.503709756
Mar-86,1.2135378,1.2883513,1.139481268,1.06184884,0.503908886
Abr 1986,1.276894313,1.359009511,1.221807117,1.099637174,0.504151159
May-86,1.34785231,1.438276468,1.325823889,1.136852806,0.522480667
Jun-86,1.434370512,1.539426994,1.440582239,1.197544846,0.54009636
Jul-86,1.50593984,1.616643479,1.493503189,1.246056874,0.545216132
Ago 1986,1.626004669,1.709046807,1.578076631,1.290005405,0.560744614
Sep-86,1.723549709,1.816458303,1.684065817,1.342530183,0.841451475
Oct-86,1.822069042,1.936135788,1.810068031,1.406977891,0.841451475
Nov-86,1.945171412,2.067148349,1.928138968,1.47532034,0.843954216
Dic 1986,2.098822995,2.226509186,2.068622538,1.573095332,0.849688354
Ene 1987,2.268762649,2.411262784,2.202581502,1.671992115,0.938024421
Feb-87,2.432470572,2.593198159,2.398139173,1.744868849,0.982051705
Mar-87,2.593225021,2.775629893,2.580936703,1.835150047,0.982483436
Abr 1987,2.820119431,2.977373625,2.759524211,1.937268522,0.985551248
May-87,3.032724052,3.192706562,2.967144745,2.038085024,1.014446392
Jun-87,3.252120148,3.430769252,3.212639208,2.13716058,1.05676306
Jul-87,3.515516574,3.725752408,3.464898733,2.246767524,1.076140424
Ago 1987,3.802838856,3.998952749,3.666152343,2.380883384,1.149652028
Sep-87,4.053368746,4.29758563,3.943174349,2.50034048,1.783891441
Oct-87,4.391158069,4.674097933,4.259804552,2.658509574,1.800249186
Nov-87,4.739467965,5.108439971,4.601199021,2.874142948,1.829414696
Dic 1987,5.439478729,5.744868984,4.99146712,3.121634858,1.835049103
Ene 1988,6.28055153,6.503486423,5.883939261,3.38388446,2.338625484
Feb-88,6.80439664,7.179284853,6.5323274,3.670874658,2.557219207
